,Название,Код,Цена,Рейтинг,Срок(месяца),Дата купона,НКД,Величина купона(-13%),Номинал,Выплат в год,Доходность(год),Осталось выплат,Доходность(% в год),Доходность(все время),Ссылка,Статус квал. инвестора
42,МФК ВЭББАНКИР 1P-02,RU000A105575,897.3,Низкий,22.0,2024-04-22,3.0,10.0,1000.0,12.0,120.0,22.0,13.37,220.0,https://www.tinkoff.ru/invest/bonds/RU000A105575/,Не важен / Неизвестно
43,МФК Мани Мен выпуск 3,RU000A103PS8,973.3,Низкий,4.0,2024-04-03,9.0,8.7,1000.0,12.0,104.4,4.0,10.73,35.0,https://www.tinkoff.ru/invest/bonds/RU000A103PS8/,Не важен / Неизвестно
44,МФК Лайм-Займ 001Р-03,RU000A107795,989.0,Низкий,30.0,2024-04-13,10.0,14.27,1000.0,12.0,171.24,30.0,17.31,428.0,https://www.tinkoff.ru/invest/bonds/RU000A107795/,Не важен / Неизвестно
45,МФК ВЭББАНКИР выпуск 1,RU000A103F43,813.89844,Средний,9.0,2024-04-07,7.0,7.57,833.4,12.0,90.84,9.0,11.16,68.0,https://www.tinkoff.ru/invest/bonds/RU000A103F43/,Не важен / Неизвестно
46,Селлер выпуск 1,RU000A106KY0,992.9,Средний,15.0,2024-04-14,8.0,12.79,1000.0,12.0,153.48,15.0,15.46,192.0,https://www.tinkoff.ru/invest/bonds/RU000A106KY0/,Не важен / Неизвестно
47,МФК Лайм-Займ 1Р-02,RU000A106CJ8,872.01,Низкий,25.0,2024-04-03,11.0,10.61,900.0,12.0,127.32,25.0,14.6,265.0,https://www.tinkoff.ru/invest/bonds/RU000A106CJ8/,Не важен / Неизвестно
48,ПР-Лизинг 002P-01,RU000A1022E6,946.0,Средний,64.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A1022E6/,Не важен / Неизвестно
49,ТЕХНО Лизинг выпуск 4,RU000A1032X5,874.0,Низкий,24.0,2024-04-26,1.0,7.66,1000.0,12.0,91.92,24.0,10.52,184.0,https://www.tinkoff.ru/invest/bonds/RU000A1032X5/,Не важен / Неизвестно
50,Нафтатранс Плюс выпуск 3,RU000A102V51,916.8,Низкий,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A102V51/,Не важен / Неизвестно
51,Ника (ООО) 001P-03,RU000A107SH6,1001.3,Средний,58.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tinkoff.ru/invest/bonds/RU000A107SH6/,Не важен / Неизвестно
